TRADEDATE,CLOSE,VALUE,VOLUME
2015-04-21,75.24,11716879112.3,157633660.0
2015-04-22,73.9,10658569420.3,143896300.0
2015-04-23,75.8,14341518309.3,192895230.0
2015-04-24,75.75,11841055983.5,155138110.0
2015-04-27,75.2,9552112172.9,126319130.0
2015-04-28,75.7,7420290830.3,99218180.0
2015-04-29,75.2,6589908899.1,87147120.0
2015-04-30,76.9,8001641723.0,105036540.0
2015-05-05,80.21,10786919266.1,136570620.0
2015-05-06,79.2,8790897464.3,110343180.0
2015-05-07,76.5,8631254510.1,111790370.0
2015-05-08,75.5,8296346648.5,109570490.0
2015-05-12,75.19,7522013545.9,99583780.0
2015-05-13,75.24,8181617263.1,108370700.0
2015-05-14,74.31,6695102749.4,89950110.0
2015-05-15,75.05,4950211145.0,66428900.0
2015-05-18,75.36,6901311199.4,91255640.0
2015-05-19,73.35,7035385025.8,95117880.0
2015-05-20,71.6,8031173145.8,111312700.0
2015-05-21,73.25,7130404576.0,98610820.0
2015-05-22,74.35,9612288950.2,130057270.0
2015-05-25,74.46,4502020411.3,60933420.0
2015-05-26,74.67,6011972846.2,80631210.0
2015-05-27,74.23,8089769979.0,110149140.0
2015-05-28,73.6,6185895043.3,83529650.0
2015-05-29,73.5,10250593497.7,136698370.0
2015-06-01,72.65,8321019554.8,113205280.0
2015-06-02,73.92,5525454638.9,75392090.0
2015-06-03,71.72,7798511159.9,107211510.0
2015-06-04,71.25,7845641687.8,109970350.0
2015-06-05,70.61,5480891746.2,77281110.0
2015-06-08,69.17,7182758943.4,102748480.0
2015-06-09,70.21,6851335973.1,98748730.0
2015-06-10,71.51,6529685990.9,91552570.0
2015-06-11,72.55,8834867546.4,123890170.0
2015-06-15,71.8,7274644531.5,102080440.0
2015-06-16,73.5,7779486263.0,107571400.0
2015-06-17,72.81,6403529451.6,86995650.0
2015-06-18,72.98,6720787262.8,91400010.0
2015-06-19,71.56,6700730988.3,92741580.0
